"","playerID","LOS","recent_year","G","AB","R","H","X2B","X3B","HR","RBI","SB","CS","SO","BB","IBB","HBP","SH","SF","GIDP","inducted"
"1","aaronha01",23,1976,143.391304347826,537.565217391304,94.5217391304348,163.95652173913,27.1304347826087,4.26086956521739,32.8260869565217,99.8695652173913,10.4347826086957,3.17391304347826,60.1304347826087,60.9565217391304,12.7826086956522,1.39130434782609,0.91304347826087,5.26086956521739,14.2608695652174,"Y"
"2","aaronto01",7,1971,62.4285714285714,134.857142857143,14.5714285714286,30.8571428571429,6,0.857142857142857,1.85714285714286,13.4285714285714,1.28571428571429,1.14285714285714,20.7142857142857,12.2857142857143,0.428571428571429,0,1.28571428571429,0.857142857142857,5.14285714285714,"N"
"3","abbated01",8,1910,103.375,367.75,43.25,93.5,11.875,5.375,1.375,38.75,17.25,1,33.25,35.125,1,4,11.375,1,3,"N"
"4","abbotfr01",3,1905,53.3333333333333,171,16,35.6666666666667,7,2,0.333333333333333,16.3333333333333,4.66666666666667,1,25,6.33333333333333,1,2.66666666666667,6.66666666666667,1,3,"N"
"5","abbotje01",5,2001,46.6,119.2,16.4,31.4,6.6,0.4,3.6,16.6,1.2,1,18.2,7.6,0.4,0.6,1,1.4,2.4,"N"
"6","abbotku01",10,2001,70.2,204.4,27.3,52.3,10.9,2.3,6.2,24.2,2.2,1.1,57.1,13.3,1.1,1.7,2.1,1.2,3.7,"N"
"7","abercre01",3,2008,60,128.666666666667,21.6666666666667,28.6666666666667,6.66666666666667,0.666666666666667,3,11.3333333333333,6,2.66666666666667,41,7,0.666666666666667,2.33333333333333,1.66666666666667,0.666666666666667,1,"N"
"8","abernbr01",5,2005,46.4,173.6,19.4,42.4,7.2,1,1.6,15.8,4.2,1.4,18.6,12,0.2,1.4,3.2,0.8,3,"N"
"9","aberscl01",3,1949,21,59.6666666666667,8.33333333333333,15,2.33333333333333,1,1.66666666666667,8.66666666666667,0,1,14.6666666666667,8.33333333333333,1,0,0,1,2,"N"
"10","abnersh01",7,1992,56,120,12.7142857142857,27.2857142857143,5.57142857142857,0.571428571428571,1.57142857142857,10.1428571428571,0.857142857142857,1.14285714285714,21.8571428571429,6.14285714285714,1.42857142857143,1,0.714285714285714,1,2,"N"
"11","abramca01",10,1956,56.7,161.1,25.7,43.3,6.4,1.9,3.2,13.8,1.2,2,29,30.4,1,0.7,1.6,1,2.2,"N"
"12","abreubo01",20,2014,121.25,424,72.65,123.5,28.7,2.95,14.4,68.15,20,6.4,92,73.8,5.75,1.65,0.35,4.25,8.25,"N"
"14","abreuto01",6,2014,37.3333333333333,96.5,10.1666666666667,24.5,6.5,1,1,10,0.333333333333333,0.666666666666667,19.3333333333333,3.66666666666667,0.333333333333333,0.833333333333333,0.166666666666667,1.33333333333333,3.33333333333333,"N"
"15","abstebi01",3,1910,56.6666666666667,206.333333333333,18,50,7.33333333333333,3.33333333333333,0.333333333333333,25.3333333333333,7,1,25,9.66666666666667,1,1.33333333333333,9.66666666666667,1,3,"N"
"16","ackledu01",7,2016,90.7142857142857,303.571428571429,37.2857142857143,73.1428571428571,13.4285714285714,2.57142857142857,6.57142857142857,30.8571428571429,4.42857142857143,1.71428571428571,59.8571428571429,27.7142857142857,1.42857142857143,0.714285714285714,1.57142857142857,1.71428571428571,3.57142857142857,"N"
"17","acostme01",6,1918,30,72.6666666666667,9.33333333333333,18.5,1.5,1.16666666666667,0,6.16666666666667,2.83333333333333,2,7.66666666666667,10.5,1,0.666666666666667,3.16666666666667,1,3,"N"
"19","adairje01",15,1970,77.6666666666667,267.933333333333,25.2,68.1333333333333,10.8666666666667,1.26666666666667,3.8,24.4,1.93333333333333,1.93333333333333,33.2666666666667,13.8666666666667,2.06666666666667,1.13333333333333,2.73333333333333,2,9.93333333333333,"N"
"20","adamecr01",5,2019,35.2,65.6,6.4,14,1.8,0.8,0.4,4.4,0.4,0.8,15.4,6,0.2,1,0.8,0,1.2,"N"
"22","adamsbe01",8,1919,33.375,84.75,4.625,17.125,2.125,0.5,0.25,5.625,1.125,1,15.75,2.875,1,0.125,2.875,1,3,"N"
"23","adamsbo03",15,1959,85.4,267.933333333333,39.4,72.1333333333333,12.5333333333333,3.26666666666667,2.46666666666667,20.2,4.46666666666667,2.33333333333333,29.8,27.6,0.666666666666667,1.13333333333333,5.2,0.866666666666667,4.13333333333333,"N"
"24","adamsbu01",8,1947,72,250.375,35.25,66.5,12,1.5,6.25,31.125,1.5,1,35.125,29.25,1,1.625,5.25,1,4.375,"N"
"25","adamsda02",1,2013,43,140,10,27,5,1,2,13,0,0,43,9,0,2,1,0,4,"N"
"26","adamsgl01",8,1982,82.625,202.125,19,56.5,9.875,0.625,4.25,28.125,0.75,1.25,22.875,13.875,1,0.5,1.125,2.375,5.875,"N"
"27","adamshe01",3,1950,31.6666666666667,112.333333333333,13,29.3333333333333,2.66666666666667,2,0,6,1.33333333333333,0.666666666666667,8,7.33333333333333,1,0.666666666666667,1,1,1.66666666666667,"N"
"28","adamsla01",3,2018,39,45.6666666666667,10,12,1.66666666666667,0.333333333333333,2.33333333333333,8.66666666666667,3.66666666666667,0,15.6666666666667,4.66666666666667,0,0.333333333333333,0.333333333333333,0.333333333333333,1.33333333333333,"N"
"30","adamsmi02",5,1978,20,23.6,5.4,4.6,1,0,0.6,1.8,0.4,0.2,5.8,6.4,0,0.4,0,0,0.4,"N"
"31","adamsri02",3,1985,40,82.3333333333333,11.6666666666667,17.6666666666667,1.66666666666667,0.333333333333333,1.33333333333333,5.33333333333333,1,0.666666666666667,12.3333333333333,3.33333333333333,1,1.66666666666667,2.33333333333333,0,1.66666666666667,"N"
"32","adamsru01",5,2009,57.2,176.8,25,43.6,9.2,1.4,3.4,22.6,3,1,23.6,17,0.4,1,1.6,2.2,2.8,"N"
"33","adamssp01",14,1934,101.714285714286,396.928571428571,60.2857142857143,113.428571428571,17.7857142857143,3.42857142857143,0.642857142857143,28.1428571428571,11,4.28571428571429,15.9285714285714,32.3571428571429,1,2,9.71428571428571,1,3.35714285714286,"N"
"34","adamssp02",4,1927,45,98.75,15.25,25.25,4,1.25,0,9.5,1.25,2.5,12.5,9.5,1,0.5,3,1,3,"N"
"35","adcocjo01",17,1966,115.235294117647,388.588235294118,48.4117647058824,107.764705882353,17.3529411764706,2.05882352941176,19.7647058823529,66,1.17647058823529,1.52941176470588,62.2941176470588,34.9411764705882,3.52941176470588,1,3.05882352941176,2.29411764705882,13.1176470588235,"N"
"36","addisbo01",5,1953,41.6,106.8,14,30,4.4,0.4,0.4,9.4,1.6,1.4,9.4,7.4,1,0,1,1,1.8,"N"
"37","adducji01",4,1989,17.5,36,2.75,8.5,2,0.25,0.25,3.75,0,0.25,6.75,0.5,0,0,0.25,0.75,0.25,"N"
"38","adducji02",5,2019,30.2,79.2,9.6,18.4,3.6,0.8,1,7.8,1.4,0.4,22.2,5.8,0,0,0.6,0.6,1,"N"
"40","aderhmo01",6,1945,17.6666666666667,43.6666666666667,6,11.6666666666667,1.16666666666667,0.5,0.5,5.33333333333333,0.5,0.666666666666667,4.83333333333333,3.16666666666667,1,0,0,1,0.166666666666667,"N"
"41","adlesda01",6,1968,17.6666666666667,42.6666666666667,1.5,7.16666666666667,0.5,0.166666666666667,0.166666666666667,1.83333333333333,0,0,13.3333333333333,3,0.833333333333333,0.333333333333333,0.333333333333333,0.166666666666667,1.5,"N"
"43","agbaybe01",6,2002,63.8333333333333,181.833333333333,24.1666666666667,49.8333333333333,9.5,1,6.5,26,2.66666666666667,2.66666666666667,41,23.1666666666667,1.16666666666667,2.5,0.166666666666667,1.33333333333333,5.16666666666667,"N"
"44","ageeto01",13,1973,86.8461538461538,300.923076923077,42.9230769230769,76.8461538461538,13.0769230769231,2.07692307692308,10,33.3076923076923,12.8461538461538,6.23076923076923,70.6153846153846,26.3076923076923,2,2.61538461538462,1.61538461538462,1.15384615384615,7.61538461538461,"N"
"45","agganha01",2,1955,78.5,258.5,32.5,67.5,11.5,4.5,5.5,33.5,4,1.5,33.5,28.5,0.5,0,3.5,3,4.5,"N"
"46","aglerjo01",4,1915,58.5,187.75,30.25,46.25,5.5,2.5,0,9,9.5,1,38,32.75,1,0.25,5.25,1,3,"N"
"47","agnewsa01",7,1919,80.4285714285714,219.571428571429,15,44.8571428571429,5.85714285714286,2,0.285714285714286,14,4.14285714285714,2.14285714285714,30.8571428571429,14.5714285714286,1,3.57142857142857,6.71428571428571,1,3,"N"
"48","aguaylu01",11,1989,51.6363636363636,100.363636363636,12.9090909090909,23.6363636363636,3.90909090909091,0.909090909090909,3.36363636363636,9.90909090909091,0.636363636363636,0.454545454545455,20,8.54545454545454,1.09090909090909,1.81818181818182,1.27272727272727,1.09090909090909,2.45454545454545,"N"
"49","aguilch01",4,2008,37.25,57.5,6.5,13.25,3.25,0.5,0.75,4,0.5,0.5,15.25,4,0.25,0,0.5,0,0.75,"N"
"52","aikenwi01",8,1985,96.75,311.5,37.625,84.375,15.625,0.25,13.75,51.875,0.375,0.75,55.5,39.875,5.25,2.25,0,3.375,10.875,"N"
